金句1,條條大路通羅馬，有人就出生在羅馬
金句2,好好活下去，每天都有新打擊
金句3,萬事起頭難，中間難，到最後都難
金句4,現在窮怕什麼？以後窮的日子多著呢
金句5,減什麼肥，臉醜跟體胖根本沒什麼關係
金句6,不瘦下來怎麼知道你是真的醜
金句7,一覺醒來，是不是感覺離夢想又遠了呢？
金句8,你不努力，怎麼知道什麼叫絕望？
金句9,世上無難事，只要肯放棄。
金句10,你要好好愛自己，因為我不愛你。
金句11,沒有錢，真是萬萬不能！
金句12,永遠都不知道明天會遇到什麼鳥事。
金句13,去哪都好，只要不用去上班就好。
金句14,生活就是你忍完了，換我忍。
金句15,真的不要懷疑自己的第一直覺。
金句16,好聚好散，分手快樂
金句17,愛太沉重，我負擔不起
金句18,說愛容易做愛難
金句19,沒有女朋友沒關係，你可以改交男朋友阿
金句20,天再高又怎樣，踮起腳尖就更接近陽光。
金句21,微笑擁抱每一天，做像向日葵般溫暖的女子
金句22,"別小看任何人，越不起眼的人。往往會做些讓人想不到的事
"
金句23,沒有傘的孩子必須努力奔跑！
金句24,我們什麼都沒有，唯一的本錢就是青春。夢想讓我與眾不同，奮鬥讓我改變命運！
金句25,你不勇敢，沒人替你堅強
金句26,自信的生命最美麗
金句27,學會寬容，要有一顆寬容的愛心
金句28,心有多大，舞台就有多大
金句29,相信夢想是價值的源泉，相信眼光決定未來的一切，相信成功的信念比成功本身更重要，相信人生有挫折沒有失敗，相信生命的質量來自決不妥協的信念。
金句30,如果心胸不似海，又怎能有海一樣的事業
金句31,命運如同手中的掌紋，無論多曲折，終掌握在自己手中
金句32,真正的強者，不是流淚的人，而是含淚奔跑的人
金句33,只做第一個我，不做第二個誰
金句34,只有經歷過地獄般的折磨，才有征服天堂的力量。只有流過血的手指才能彈出世間的絕唱
金句35,窮則思變，差則思勤！沒有比人更高的山沒有比腳更長的路
金句36,人生沒有彩排，每天都是現場直播
金句37,帶著感恩的心啟程，學會愛，愛父母，愛自己，愛朋友，愛他人
金句38,用愛生活，你會使自己幸福！用愛工作，你會使很多人幸福
金句39,流過淚的眼睛更明亮，滴過血的心靈更堅強
金句40,當世界給草籽重壓時，它總會用自己的方法破土而出
金句41,我們可以失望，但不能盲目
金句42,自己選擇的路、跪著也要把它走完
金句43,我走得很慢，但我從不後退
金句44,這個社會是存在不公平的，不要抱怨，因為沒有用！人總是在反省中進步的！
金句45,沒有創造的生活不能算生活，只能算活著
金句46,志在山頂的人，不會貪念山腰的風景
金句47,別動不動就把錯誤都丟給時間去處理，時間懶得理你這爛攤子
金句48,喜歡就趕快去告白呀，說不定人家也正等著拒絕你呢
金句49,錢不是萬能，但沒有錢，萬萬不能
金句50,窮不是病，但窮起來要人命
金句51,長著一顆減肥的心 卻有著一份吃貨的命
金句52,人生就像遊樂園 只不過大多數人都是工作人員
金句53,有夢最美 失望相隨
金句54,挺起胸膛讓那些人看看 你不僅窮 還很醜
金句55,你要好好愛自己 因為沒有人愛你
金句56,好好活下去 每天都有新的打擊
金句57,世界這麼大 可惜你沒有錢買機票
金句58,感謝那些把我擊倒的人事物   躺著真舒服呀
金句59,錢不是問題 問題是沒錢
金句60,好好活下去，每天都有新的打擊
金句61,薪水就像月經一樣，一個禮拜就沒了
金句62,沒有一種不通過蔑視、忍受和奮鬥就可以征服的命運
金句63,生活不是等待風暴過去，而是學會在雨中翩翩起舞
金句64,你可以很有個性，但某些時候請收斂
金句65,快樂不是因為得到的多而是因為計較的少
金句66,待人對事不要太計較，如果太計較就會有悔恨
金句67,把艱辛的勞作看作是生命的必然，即使沒有收穫的希望也心平氣和的繼續
金句68,前有阻礙，奮力把它沖開，運用炙熱的激情，轉動心中的期待，血在澎湃，吃苦流汗算什麼
金句69,善待他人，體諒他人，熱愛生命，努力生活
金句70,豈能盡人如意，但求無愧於心
金句71,朋友是路，家是樹。別迷路，靠靠樹。
金句72,世上沒有絕望的處境，只有對處境絕望的人
金句73,性格決定命運，選擇改變人生
金句74,永遠要尋找比自己更積極的人，比自己更積極的環境
金句75,如果要後退，上帝就會在我們的後腦長雙眼睛
金句76,靠山山會倒，靠水水會流，靠自己永遠不倒。
金句77,想要逃避總有藉口，想要成功總有方法！
金句78,對的，堅持；錯的，放棄！
金句79,人生最大的失敗，就是放棄。
金句80,嘴裡說的人生，就是自己以後的人生。
金句81,拿的起，放得下。凡事別勉強！
金句82,一個真正的將軍是拼出來的。
金句83,有目標的人生才有方向有規劃的人生才更精彩。
金句84,這一秒不放棄，下一秒就有希望！堅持下去才可能成功
金句85,幸福和幸運是需要代價的，天下沒有免費的午餐
金句86,付出不一定有收穫，努力了就值得了
金句87,好多人做不好自己，是因為總想著做別人！
金句88,從不奢求生活能給予我最好的，只是執著於尋求最適合我的！
金句89,博學、正直、誠信！
金句90,選山攀崖！量力而為！
金句91,牢記所得到的，忘記所付出的。
金句92,笑口常開，好彩自然來！
金句93,行動是治癒恐懼的良藥，而猶豫、拖延將不斷滋養恐懼。
金句94,沒有天生的信心，只有不斷培養的信心。
金句95,做對的事情比把事情做對重要。
金句96,世上沒有絕望的處境，只有對處境絕望的人
金句97,讓我們將事前的憂慮，換為事前的思考和計劃吧
金句98,每一發奮努力的背後，必有加倍的賞賜。
金句99,人生偉業的建立，不在能知，乃在能行。
金句100,含淚播種的人一定能含笑收穫
